FaixaDistancia,ArrDelay
0–250,5.668675868975114
251–500,5.386696083215567
501–750,6.127761074463335
751–1000,5.867989580271164
1001–1250,6.54571082457808
1251–1500,4.318879809919361
1501–2000,4.436205780273199
2001–3000,3.4174317852453666
3001–4000,0.8757889722519948
4001–5000,1.360655737704918
