DestCityName,AtrasoMedio
"Meridian, MS",18.516393442622952
"Marquette, MI",18.812322946175637
"Newark, NJ",18.917099065514723
"Presque Isle/Houlton, ME",19.248012718600954
"Hayden, CO",19.277306168647424
"Staunton, VA",20.083333333333332
"Ogdensburg, NY",20.654716981132076
"Cody, WY",22.354054054054053
"Dickinson, ND",22.42480620155039
"Unalaska, AK",25.530529172320218
